ID,Age,Job,Marital,Education,Default,Housing,Loan,Contact,Month,Day_Of_Week,Campaign,Pdays,Previous,Poutcome,Emp.Var.Rate,Cons.Price.Idx,Cons.Conf.Idx,Outcome
1,56,housemaid,married,Other,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
3,37,services,married,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
5,56,services,married,high.school,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
6,45,services,married,Other,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
7,59,admin.,married,professional.course,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
8,41,blue-collar,married,,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
9,24,technician,single,professional.course,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
10,25,services,single,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
11,41,blue-collar,married,,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
12,25,services,single,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
14,57,housemaid,divorced,Other,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
15,35,blue-collar,married,Other,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
17,35,blue-collar,married,Other,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
18,46,blue-collar,married,Other,,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
20,39,management,single,Other,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
21,30,unemployed,married,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
22,55,blue-collar,married,Other,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
23,55,retired,single,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
24,41,technician,single,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
26,35,technician,married,university.degree,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
27,59,technician,married,,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
29,54,technician,single,university.degree,,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
30,55,,married,university.degree,,unknown,unknown,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
34,54,management,married,Other,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
35,54,blue-collar,divorced,Other,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
36,55,,married,Other,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
38,52,technician,married,Other,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
39,41,admin.,married,university.degree,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
40,56,technician,married,Other,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
43,38,admin.,single,professional.course,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
44,57,admin.,married,university.degree,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
45,44,admin.,married,university.degree,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
46,42,technician,single,professional.course,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
47,57,admin.,married,university.degree,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
50,45,blue-collar,married,Other,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
51,54,admin.,married,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
53,60,admin.,married,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
54,53,admin.,single,professional.course,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
55,55,blue-collar,married,Other,,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
56,55,technician,married,professional.course,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
58,45,services,married,high.school,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
59,55,unemployed,married,professional.course,,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
61,47,entrepreneur,married,university.degree,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
62,51,blue-collar,married,Other,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
63,42,blue-collar,married,Other,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
64,42,blue-collar,married,Other,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
65,48,admin.,married,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
66,37,admin.,married,university.degree,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
67,44,blue-collar,single,Other,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
68,33,admin.,married,,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
70,44,blue-collar,single,Other,,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
72,44,management,divorced,university.degree,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
73,47,admin.,married,university.degree,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
75,37,admin.,married,university.degree,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
76,41,blue-collar,divorced,Other,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,yes
77,55,technician,married,university.degree,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
78,33,services,married,high.school,,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
79,55,management,married,,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
80,42,blue-collar,married,Other,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
81,50,blue-collar,married,Other,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
82,51,blue-collar,married,Other,,unknown,unknown,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
83,38,admin.,married,high.school,,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
85,38,technician,single,university.degree,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
86,31,admin.,divorced,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
87,41,management,married,Other,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
88,39,admin.,married,university.degree,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
89,49,technician,married,Other,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,yes
90,34,admin.,married,high.school,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
91,35,admin.,married,university.degree,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
92,57,,married,,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
93,60,admin.,married,,,no,yes,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
95,42,blue-collar,married,Other,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
97,42,management,married,university.degree,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
98,53,admin.,divorced,university.degree,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
99,37,technician,single,professional.course,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
100,44,blue-collar,married,Other,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
101,54,services,married,,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
103,54,services,married,,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
105,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
106,43,services,single,high.school,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
107,34,housemaid,married,Other,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
108,35,admin.,married,high.school,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
109,42,entrepreneur,married,,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
110,43,technician,married,,,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
111,60,retired,divorced,university.degree,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
113,35,services,divorced,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
115,37,management,married,university.degree,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
116,36,blue-collar,married,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
117,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
120,48,blue-collar,divorced,Other,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
121,40,blue-collar,married,high.school,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
122,49,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
125,32,admin.,married,university.degree,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
126,42,admin.,married,university.degree,no,no,yes,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
130,41,technician,married,professional.course,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,yes
131,37,blue-collar,married,Other,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
132,41,technician,married,professional.course,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
133,35,blue-collar,married,,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
134,37,blue-collar,married,Other,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
135,52,management,married,university.degree,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
138,56,blue-collar,married,Other,,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
139,34,services,married,high.school,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
140,45,blue-collar,married,Other,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,yes
142,56,management,married,,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
145,38,,divorced,high.school,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
147,42,blue-collar,married,Other,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
148,35,admin.,single,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
149,40,admin.,married,university.degree,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
150,51,blue-collar,married,Other,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
151,60,blue-collar,married,Other,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
152,56,entrepreneur,married,,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
153,39,services,divorced,high.school,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
154,56,entrepreneur,married,,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
155,40,blue-collar,married,,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
156,36,blue-collar,married,Other,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
157,51,blue-collar,married,,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
158,51,blue-collar,married,,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
159,43,technician,single,professional.course,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
160,59,services,married,high.school,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
161,24,management,single,university.degree,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
162,37,blue-collar,single,Other,,yes,yes,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
164,42,blue-collar,married,Other,,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,no
169,40,blue-collar,married,,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
170,54,management,divorced,university.degree,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
171,43,blue-collar,married,high.school,,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
173,45,technician,married,university.degree,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
175,43,services,married,high.school,no,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,no
177,44,services,married,high.school,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
178,51,admin.,single,Other,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
181,34,technician,married,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
182,46,blue-collar,married,Other,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
185,54,blue-collar,married,Other,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
186,57,management,married,university.degree,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
189,49,blue-collar,married,Other,,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
190,34,admin.,married,university.degree,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
191,41,technician,married,professional.course,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
194,42,technician,married,university.degree,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,no
195,34,blue-collar,single,Other,,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
196,48,blue-collar,married,Other,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,no
