,ID,Outcome
0,2,no
1,4,no
2,13,no
3,16,no
4,19,no
5,25,no
6,28,no
7,31,no
8,32,no
9,33,no
10,37,no
11,41,no
12,42,no
13,48,no
14,49,no
15,52,no
16,57,no
17,60,no
18,69,no
19,71,no
20,74,no
21,84,no
22,94,no
23,96,no
24,102,no
25,104,no
26,112,no
27,114,no
28,118,no
29,119,no
30,123,no
31,124,no
32,127,no
33,128,no
34,129,no
35,136,no
36,137,no
37,141,no
38,143,no
39,144,no
40,146,no
41,163,no
42,165,no
43,166,no
44,167,no
45,168,no
46,172,no
47,174,no
48,176,no
49,179,no
50,180,no
51,183,no
52,184,no
53,187,no
54,188,no
55,192,no
56,193,no
57,200,no
58,202,no
59,206,no
60,220,no
61,221,no
62,223,no
63,224,no
64,231,no
65,237,no
66,242,no
67,243,no
68,247,no
69,248,no
70,249,no
71,254,no
72,261,no
73,262,no
74,263,no
75,264,no
76,265,no
77,267,no
78,268,no
79,274,no
80,285,no
81,289,no
82,293,no
83,294,no
84,301,no
85,303,no
86,308,no
87,309,no
88,310,no
89,312,no
90,320,no
91,321,no
92,322,no
93,324,no
94,340,no
95,342,no
96,344,no
97,348,no
98,353,no
99,354,no
100,356,no
101,359,no
102,362,no
103,363,no
104,365,no
105,370,no
106,372,no
107,374,no
108,377,no
109,379,no
110,380,no
111,383,no
112,385,no
113,387,no
114,391,no
115,392,no
116,393,no
117,394,no
118,395,no
119,404,no
120,405,no
121,407,no
122,411,no
123,412,no
124,418,no
125,420,no
126,421,no
127,423,no
128,424,no
129,430,no
130,431,no
131,432,no
132,433,no
133,441,no
134,444,no
135,449,no
136,451,no
137,455,no
138,457,no
139,459,no
140,461,no
141,467,no
142,474,no
143,475,no
144,479,no
145,480,no
146,482,no
147,484,no
148,490,no
149,492,no
150,500,no
151,501,no
152,504,no
153,505,no
154,506,no
155,509,no
156,513,no
157,521,no
158,528,no
159,529,no
160,534,no
161,537,no
162,541,no
163,546,no
164,548,no
165,554,no
166,555,no
167,556,no
168,557,no
169,561,no
170,566,no
171,569,no
172,572,no
173,575,no
174,580,no
175,583,no
176,587,no
177,590,no
178,596,no
179,597,no
180,598,no
181,599,no
182,602,no
183,603,no
184,610,no
185,614,no
186,615,no
187,618,no
188,620,no
189,621,no
190,622,no
191,627,no
192,634,no
193,636,no
194,637,no
195,645,no
196,646,no
197,647,no
198,654,no
199,657,no
200,658,no
201,660,no
202,669,no
203,682,no
204,684,no
205,689,no
206,690,no
207,694,no
208,702,no
209,703,no
210,705,no
211,707,no
212,715,no
213,721,no
214,728,no
215,740,no
216,741,no
217,747,no
218,750,no
219,752,no
220,753,no
221,758,no
222,759,no
223,763,no
224,765,no
225,767,no
226,770,no
227,771,no
228,774,no
229,776,no
230,780,no
231,783,no
232,784,no
233,789,no
234,790,no
235,794,no
236,796,no
237,799,no
238,801,no
239,803,no
240,804,no
241,805,no
242,808,no
243,809,no
244,810,no
245,811,no
246,812,no
247,813,no
248,814,no
249,818,no
250,819,no
251,822,no
252,825,no
253,828,no
254,829,no
255,831,no
256,833,no
257,838,no
258,839,no
259,840,no
260,841,no
261,843,no
262,848,no
263,853,no
264,854,no
265,861,no
266,864,no
267,865,no
268,868,no
269,876,no
270,884,no
271,889,no
272,893,no
273,897,no
274,898,no
275,902,no
276,904,no
277,905,no
278,907,no
279,910,no
280,911,no
281,917,no
282,918,no
283,920,no
284,922,no
285,930,no
286,932,no
287,934,no
288,938,no
289,940,no
290,942,no
291,944,no
292,946,no
293,948,no
294,949,no
295,950,no
296,956,no
297,957,no
298,961,no
299,964,no
300,965,no
301,966,no
302,967,no
303,969,no
304,970,no
305,972,no
306,976,no
307,982,no
308,985,no
309,992,no
310,995,no
311,996,no
312,997,no
313,1006,no
314,1008,no
315,1009,no
316,1011,no
317,1012,no
318,1013,no
319,1017,no
320,1019,no
321,1021,no
322,1029,no
323,1033,no
324,1036,no
325,1039,no
326,1041,no
327,1047,no
328,1051,no
329,1055,no
330,1058,no
331,1062,no
332,1065,no
333,1069,no
334,1070,no
335,1073,no
336,1075,no
337,1076,no
338,1077,no
339,1080,no
340,1085,no
341,1088,no
342,1089,no
343,1091,no
344,1094,no
345,1100,no
346,1102,no
347,1105,no
348,1107,no
349,1108,no
350,1111,no
351,1116,no
352,1118,no
353,1123,no
354,1124,no
355,1125,no
356,1127,no
357,1128,no
358,1130,no
359,1132,no
360,1133,no
361,1140,no
362,1142,no
363,1144,no
364,1147,no
365,1150,no
366,1152,no
367,1153,no
368,1157,no
369,1160,no
370,1164,no
371,1169,no
372,1171,no
373,1173,no
374,1175,no
375,1179,no
376,1187,no
377,1188,no
378,1191,no
379,1194,no
380,1196,no
381,1209,no
382,1211,no
383,1213,no
384,1216,no
385,1218,no
386,1219,no
387,1222,no
388,1223,no
389,1225,no
390,1230,no
391,1234,no
392,1237,no
393,1240,no
394,1245,no
395,1247,no
396,1250,no
397,1256,no
398,1262,no
399,1264,no
400,1280,no
401,1282,no
402,1283,no
403,1284,no
404,1287,no
405,1293,no
406,1297,no
407,1299,no
408,1305,no
409,1306,no
410,1312,no
411,1314,no
412,1316,no
413,1325,no
414,1326,no
415,1329,no
416,1333,no
417,1338,no
418,1339,no
419,1342,no
420,1346,no
421,1350,no
422,1357,no
423,1360,no
424,1363,no
