Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1571.9664195,OUT049
FDW14,1445.21618404,OUT017
NCN55,571.397262992,OUT010
FDQ58,2495.69117548,OUT017
FDY38,5848.53591723,OUT027
FDH56,1952.43588186,OUT046
FDL48,731.77281481,OUT018
FDC48,2151.83829177,OUT027
FDN33,1541.4172921,OUT045
FDA36,3058.73633799,OUT017
FDT44,1962.75474986,OUT017
FDQ56,1440.98796156,OUT045
NCC54,573.250377023,OUT019
FDU11,2015.94812621,OUT049
DRL59,834.966951545,OUT013
FDM24,2491.37455671,OUT049
FDI57,3088.97105861,OUT045
DRC12,3054.76839108,OUT018
NCM42,2913.48858547,OUT027
FDA46,513.198555784,OUT010
FDA31,2860.87493646,OUT013
NCJ31,3887.26408055,OUT035
FDG52,732.547958128,OUT046
NCL19,287.056007538,OUT019
FDS10,3011.2719095,OUT035
FDX22,563.546123986,OUT010
NCF19,732.547958128,OUT035
NCE06,2569.97338355,OUT046
DRC27,3887.58819773,OUT046
FDE21,1952.43588186,OUT035
NCR42,128.974790356,OUT019
FDX51,3056.01945942,OUT018
NCR06,664.086983487,OUT018
FDU31,5848.53591723,OUT027
FDU59,2575.02533746,OUT017
FDR03,5848.53591723,OUT027
FDS49,2094.0516976,OUT027
FDD48,266.976176448,OUT010
NCF18,3057.48526964,OUT017
NCD43,2850.21343834,OUT027
NCD54,2148.79058441,OUT018
FDY19,267.073024646,OUT010
NCY54,2860.87493646,OUT017
NCL19,2476.42514091,OUT018
FDP23,566.958099625,OUT010
FDC26,1686.04536332,OUT013
FDR14,128.974790356,OUT010
NCS41,3058.73633799,OUT035
FDF41,3900.33141438,OUT035
FDU34,2024.96203332,OUT046
DRH11,947.277354082,OUT046
FDM03,1569.69481744,OUT013
FDS31,3020.45164126,OUT017
FDJ20,2015.94812621,OUT017
FDV44,5166.76028594,OUT027
FDG02,3058.73633799,OUT049
FDA09,2966.65210079,OUT013
FDT04,714.022095431,OUT013
FDL58,569.558566588,OUT019
FDE52,1493.30296298,OUT045
FDW12,2476.42514091,OUT035
FDL51,3683.24462819,OUT017
NCY42,3014.80242499,OUT027
FDR07,1541.4172921,OUT017
FDN40,2494.14917616,OUT045
FDB35,2694.60387358,OUT027
FDA22,2576.86401428,OUT017
NCL06,4074.31987356,OUT046
FDI35,3020.45164126,OUT013
NCW42,3765.5164093,OUT045
NCX06,2975.68487413,OUT049
FDC37,2891.63559489,OUT027
FDZ14,2015.94812621,OUT018
DRG49,3881.26499646,OUT049
NCG06,4050.27228562,OUT045
DRC36,2860.87493646,OUT045
FDV21,280.249329682,OUT019
FDB53,2482.13430674,OUT046
DRP47,569.682184891,OUT019
FDA14,2483.87106785,OUT013
DRC24,2494.14917616,OUT035
FDW21,1557.39657409,OUT018
NCH29,1541.4172921,OUT046
FDU58,3058.73633799,OUT013
FDY27,2878.89148321,OUT017
FDV56,1579.1923584,OUT035
FDT59,3818.15382089,OUT046
FDB23,3780.30922252,OUT046
FDR49,728.656569477,OUT045
FDB03,573.734194972,OUT010
FDN39,2575.61294593,OUT045
FDX02,5848.53591723,OUT027
FDQ16,2891.63559489,OUT027
FDU35,1541.4172921,OUT018
NCT29,2015.94812621,OUT013
FDZ27,732.547958128,OUT046
FDN57,2030.79542798,OUT017
FDA03,2483.87106785,OUT018
FDZ36,3058.73633799,OUT045
NCU05,1470.99411351,OUT013
FDT39,2491.37455671,OUT018
FDK60,1541.4172921,OUT017
FDZ25,2759.86315136,OUT017
FDG12,2015.94812621,OUT046
