,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,1856.490395603846
1,FDW14,OUT017,1503.974431831015
2,NCN55,OUT010,1882.5803596616984
3,FDQ58,OUT017,2595.833834688394
4,FDY38,OUT027,5111.896920295154
5,FDH56,OUT046,1931.6770871968138
6,FDL48,OUT018,575.1256802876337
7,FDC48,OUT027,2803.422808331893
8,FDN33,OUT045,1466.617808150033
9,FDA36,OUT017,3109.101171047793
10,FDT44,OUT017,2042.5242086021904
11,FDQ56,OUT045,1354.3851485783885
12,NCC54,OUT019,1869.149760172466
13,FDU11,OUT049,2074.3047226744047
14,DRL59,OUT013,911.6478438097454
15,FDM24,OUT049,2531.2131225752446
16,FDI57,OUT045,3287.208837671984
17,DRC12,OUT018,2759.4175034368177
18,NCM42,OUT027,3185.77423345598
19,FDA46,OUT010,1133.7301776988024
20,FDA31,OUT013,2848.990949441087
21,NCJ31,OUT035,3879.421021412092
22,FDG52,OUT046,792.4634143439309
23,NCL19,OUT019,373.5896789478692
24,FDS10,OUT035,3029.149247404694
25,FDX22,OUT010,1426.0269756713294
26,NCF19,OUT035,911.6856284765959
27,NCE06,OUT046,2523.2410088478173
28,DRC27,OUT046,3843.7592990411686
29,FDE21,OUT035,2077.4267200002223
30,NCR42,OUT019,-1372.017267240682
31,FDX51,OUT018,2851.3336824126827
32,NCR06,OUT018,418.0339694042111
33,FDU31,OUT027,4957.761200745818
34,FDU59,OUT017,2733.36238374557
35,FDR03,OUT027,4740.087353780427
36,FDS49,OUT027,2798.788257893423
37,FDD48,OUT010,-49.19938249558305
38,NCF18,OUT017,3106.5796032532694
39,NCD43,OUT027,3091.394599755059
40,NCD54,OUT018,1983.1306565244317
41,FDY19,OUT010,15.448790123490369
42,NCY54,OUT017,2796.8663423854923
43,NCL19,OUT018,2027.4962117492573
44,FDP23,OUT010,1558.0494978656532
45,FDC26,OUT013,1861.856663005206
46,FDR14,OUT010,-1071.4306169883844
47,NCS41,OUT035,3046.7735808143293
48,FDF41,OUT035,4035.7599710436434
49,FDU34,OUT046,2005.2976076319396
50,DRH11,OUT046,943.704360737883
51,FDM03,OUT013,1756.2846596495444
52,FDS31,OUT017,3035.7108684220684
53,FDJ20,OUT017,2105.5004330219494
54,FDV44,OUT027,4501.489626597949
55,FDG02,OUT049,3154.8727185146913
56,FDA09,OUT013,2910.1295170915896
57,FDT04,OUT013,664.8773335191736
58,FDL58,OUT019,2253.1552380339726
59,FDE52,OUT045,1376.0670141066125
60,FDW12,OUT035,2484.905287593718
61,FDL51,OUT017,3488.524425783706
62,NCY42,OUT027,3682.391588360161
63,FDR07,OUT017,1714.7506098892927
64,FDN40,OUT045,2349.5318831353893
65,FDB35,OUT027,2953.117020939483
66,FDA22,OUT017,2776.5717623607707
67,NCL06,OUT046,4103.791275312903
68,FDI35,OUT013,2956.233815899182
69,NCW42,OUT045,3400.326486438168
70,NCX06,OUT049,2933.332877672
71,FDC37,OUT027,3220.8168684714374
72,FDZ14,OUT018,1664.8637714825293
73,DRG49,OUT049,3950.8507586648766
74,NCG06,OUT045,3947.7791659976365
75,DRC36,OUT045,2676.701317135513
76,FDV21,OUT019,49.011636699714586
77,FDB53,OUT046,2341.3279518550175
78,DRP47,OUT019,2045.0478086718217
79,FDA14,OUT013,2323.044729741379
80,DRC24,OUT035,2569.3044617338705
81,FDW21,OUT018,1369.7916554014262
82,NCH29,OUT046,1572.360751821268
83,FDU58,OUT013,3042.0562060096804
84,FDY27,OUT017,2911.697548762406
85,FDV56,OUT035,1962.0392453589552
86,FDT59,OUT046,3685.5291265328196
87,FDB23,OUT046,3625.177281014371
88,FDR49,OUT045,730.5344685849388
89,FDB03,OUT010,1838.9671939745162
90,FDN39,OUT045,2611.4494377128203
91,FDX02,OUT027,4957.484303154268
92,FDQ16,OUT027,3182.9544607515572
93,FDU35,OUT018,1347.9890313709425
94,NCT29,OUT013,1979.4563023360283
95,FDZ27,OUT046,796.3647450220956
96,FDN57,OUT017,2356.744344891461
97,FDA03,OUT018,2027.1661182383164
98,FDZ36,OUT045,2898.6912509500116
99,NCU05,OUT013,1343.1426580499465
100,FDT39,OUT018,2173.0072753774175
101,FDK60,OUT017,1686.9106534651355
102,FDZ25,OUT017,2853.2174250515354
103,FDG12,OUT046,1996.5805035976541
104,DRB01,OUT019,1106.2821680367797
105,NCC43,OUT027,5360.390346517973
106,FDX13,OUT019,2078.0392012417674
107,FDM22,OUT049,993.3411770751932
108,FDJ03,OUT027,2240.2529494907094
109,FDU14,OUT018,3662.061076931358
110,FDB33,OUT010,688.3439754281376
111,FDP27,OUT046,3033.9776456506233
112,FDO38,OUT010,-626.3657022162995
113,FDE28,OUT027,5090.82861255975
114,FDO27,OUT035,1676.359125372864
115,DRL23,OUT027,3188.9179498264302
116,FDS28,OUT046,915.4551346206549
117,FDX24,OUT013,1564.4070774208656
118,FDZ02,OUT035,1684.1055904694188
119,FDL46,OUT045,1817.0524523260706
120,FDS60,OUT027,4319.480546537819
121,NCO06,OUT017,624.4424240067882
122,FDO16,OUT035,1524.5503229145872
123,FDC60,OUT049,1520.169172617323
124,FDA48,OUT018,3213.4114816256674
125,FDZ36,OUT027,4448.198913992164
126,FDK27,OUT045,1906.6807257721202
127,FDW23,OUT018,399.5054429260706
128,FDM14,OUT018,1554.6410097985486
129,FDM14,OUT013,1833.4604409522067
130,FDW60,OUT018,2582.7357094479908
131,FDE21,OUT013,1963.0819071677174
132,NCM42,OUT035,1875.4843170900308
133,FDY59,OUT010,-362.24804371771717
134,DRI49,OUT049,1364.9874672863284
135,FDT28,OUT019,500.92299622969665
136,FDQ22,OUT018,412.3881499540971
137,FDR60,OUT049,1347.0611533371853
138,FDC50,OUT019,-363.3495039240628
139,FDV24,OUT013,2460.5424385399006
140,DRF48,OUT010,1082.315961351399
141,FDQ47,OUT046,621.1539159389608
142,DRN36,OUT049,1654.1253232231866
143,NCY06,OUT035,2164.762767777468
144,FDE52,OUT035,1580.3586148081815
145,NCB54,OUT045,1957.3289596266554
146,NCF31,OUT035,2541.1882569691547
147,FDJ08,OUT027,4497.316215816386
148,NCC07,OUT017,1786.313827456962
149,NCD19,OUT027,2319.6003012324827
150,FDL46,OUT049,2031.260591803651
151,FDM20,OUT045,3877.5444713878996
152,NCI06,OUT010,916.8041703735339
153,DRM11,OUT035,4238.06470646229
154,NCH07,OUT018,2199.0673724510875
155,FDS23,OUT013,2105.769230435187
156,FDO49,OUT018,586.7408907903123
157,FDS35,OUT049,1181.113657112243
158,DRK39,OUT045,1251.4557835836717
159,DRI39,OUT049,1027.4571401993135
160,FDV04,OUT017,2588.0450121694776
161,NCN14,OUT035,3013.288511908385
162,FDH08,OUT013,3749.3952308489
163,FDS20,OUT046,2960.1078434863225
164,FDV40,OUT049,1334.6338889842013
165,FDZ48,OUT010,-125.69156249918461
166,FDS24,OUT027,2890.889106335547
167,FDK44,OUT049,2901.7371352908835
168,FDS48,OUT045,2369.3521270965193
169,FDK26,OUT010,1109.4713789964271
170,FDD23,OUT045,2967.241101095563
171,NCH54,OUT017,2634.1785316117853
172,NCP14,OUT010,-264.93999476155324
173,FDM60,OUT010,-1219.3629056257334
174,FDV24,OUT017,2526.225477002525
175,FDH08,OUT018,3405.1918501994205
176,FDS12,OUT027,3482.0532101425406
177,FDR39,OUT027,4337.196190674299
178,FDP12,OUT027,2100.989315016708
179,DRF60,OUT027,5170.701665431788
180,FDC09,OUT035,1861.3756287067272
181,FDF50,OUT018,2900.709445524837
182,FDG28,OUT035,3994.012081641289
183,NCE19,OUT017,978.192729196533
184,NCM53,OUT010,-180.97519794217266
185,NCN18,OUT049,1861.6661818603025
186,FDF32,OUT035,3349.7959224544716
187,FDF11,OUT013,3868.999800167531
188,DRI59,OUT049,3667.8811711500903
189,NCG54,OUT035,2796.1494974746197
190,FDM44,OUT046,1696.1596087274288
191,FDT57,OUT018,3476.527405806956
192,FDV24,OUT046,2420.9223932512637
193,FDI50,OUT019,1763.4050201704458
194,FDS09,OUT035,999.3273649619412
195,NCC31,OUT027,3887.266340308338
196,FDQ07,OUT019,1601.8675312322548
197,FDC22,OUT017,3133.532125776324
198,FDZ56,OUT046,2755.4212646066158
199,FDZ40,OUT019,-1002.2431632222468
200,FDS46,OUT027,3360.6327917639937
201,DRD24,OUT045,2165.805221931039
202,FDV45,OUT017,3118.16437494976
203,FDL26,OUT045,2455.4508966702624
204,FDA56,OUT018,1761.4823109006284
205,FDN27,OUT046,1929.3967498034858
206,FDM20,OUT049,4025.989511442387
207,FDO16,OUT017,1457.3761766536245
208,FDL03,OUT035,3281.4147777756125
209,FDE58,OUT046,1889.2589190198446
210,FDI02,OUT027,3284.336209885376
211,NCC55,OUT019,-1279.2878687506004
212,FDR03,OUT018,3024.2109555581796
213,FDB14,OUT017,1637.5549511530025
214,FDR45,OUT013,3855.134969035739
215,NCN07,OUT017,2173.44743129992
216,FDM51,OUT019,-209.69507879522382
217,FDT52,OUT027,5315.76960632906
218,FDL26,OUT046,2502.709582266719
219,NCZ42,OUT046,3753.795569496498
220,DRI47,OUT019,443.91558254515064
221,FDW40,OUT013,2265.62259581459
222,FDN34,OUT046,2717.1643907659445
223,FDS01,OUT035,3036.791914665555
224,NCG55,OUT045,1764.9196943601983
225,FDC11,OUT035,1578.591431307278
226,FDX35,OUT018,3323.6538938289596
227,NCB06,OUT046,2539.233287772806
228,FDR09,OUT019,2198.9993595058136
229,FDC53,OUT017,1678.9260609395237
230,FDY45,OUT013,4086.459049178403
231,FDA22,OUT010,791.2512683473767
232,FDE02,OUT035,1712.9005537077853
233,FDW21,OUT045,1580.465233521255
234,FDV34,OUT046,1225.5260619186456
235,FDS59,OUT049,1883.9346800055132
236,NCW17,OUT017,2155.8770688501327
237,NCK54,OUT046,1853.8677458178872
238,FDG17,OUT019,1962.532172375145
239,FDG35,OUT017,2914.5703026115957
240,FDD08,OUT010,-1208.1397670977426
241,NCO07,OUT017,3443.453723298529
242,FDJ10,OUT010,327.3130238397266
243,FDW36,OUT017,1804.5641039782677
244,FDW21,OUT010,-250.90518134891596
245,FDY19,OUT017,2056.109930785582
246,DRE03,OUT013,807.9928371462145
247,NCC55,OUT049,710.1089727372558
248,FDH52,OUT010,-869.480175013558
249,FDO09,OUT017,4270.193999861334
250,FDU43,OUT045,3766.6342227192686
251,FDX09,OUT010,868.8374214854966
252,FDH40,OUT019,-567.7300830670703
253,FDW58,OUT017,1810.919991604509
254,FDC47,OUT017,3689.57415718764
255,NCR41,OUT035,1674.1295272786044
256,DRG49,OUT035,3989.5950542657747
257,FDC52,OUT027,3868.6161871447257
258,FDY13,OUT046,1274.3019174400958
259,FDY35,OUT013,812.2483495414306
260,FDI35,OUT017,3037.6015017853074
261,NCU18,OUT049,2319.884464630619
262,FDY33,OUT018,2243.936937363687
263,FDC15,OUT027,3900.7170622158174
264,FDU01,OUT049,3121.982116619041
265,NCU42,OUT046,2671.43377362794
266,NCV29,OUT018,2547.539997182083
267,NCY30,OUT017,2981.2215287641507
268,FDQ46,OUT049,1894.9025604566473
269,FDG58,OUT027,3900.384285782805
270,FDK33,OUT017,3503.3323477858667
271,NCD07,OUT045,1751.305997449283
272,NCX29,OUT027,3737.204583022134
273,NCT42,OUT013,2369.9792989274315
274,DRN59,OUT035,916.4717048812392
275,FDI44,OUT035,1470.6761639355825
276,FDA45,OUT049,2908.341343549867
277,FDP31,OUT045,1031.6332058511557
278,FDY01,OUT046,1865.2557684777862
279,FDT09,OUT018,1869.0439804204188
280,DRH03,OUT027,2976.629851734281
281,FDA36,OUT018,2723.9510605156834
282,NCF31,OUT017,2514.4228976373474
283,FDG14,OUT049,2559.3085000070705
284,FDG28,OUT027,5324.566755341862
285,FDU14,OUT049,4032.7097727096907
286,FDY47,OUT019,224.61596081143364
287,FDI56,OUT049,1603.3233348553576
288,DRD01,OUT013,947.7523940526294
289,FDM22,OUT046,937.1848628803723
290,FDH33,OUT013,735.147269712
291,DRZ24,OUT013,1906.5173621292492
292,NCQ38,OUT046,1689.6001860792276
293,FDO16,OUT027,2820.812569566022
294,FDU07,OUT027,3881.03889126541
295,NCB07,OUT013,3073.209254908363
296,FDU48,OUT045,2067.4902133233563
297,NCM43,OUT045,2549.529571566933
298,FDR31,OUT010,443.7768217102812
299,DRK49,OUT018,407.84781454524546
300,NCI30,OUT010,1911.8665662548478
301,DRD60,OUT017,2969.5253049334274
302,NCG19,OUT046,3658.0762165363517
303,FDH12,OUT035,1850.5719157909462
304,FDM32,OUT035,1691.0442281822168
305,FDM27,OUT035,2627.5975895404986
306,NCU53,OUT027,4096.051935241491
307,NCQ18,OUT046,1541.8827009776892
308,FDS10,OUT013,2891.45749306269
309,FDB33,OUT027,4021.79004418968
310,FDI12,OUT013,1435.27535678825
311,NCW42,OUT013,3498.081759307903
312,NCC06,OUT018,1754.2056742695609
313,FDW02,OUT017,2104.2114888169654
314,NCD43,OUT017,1760.6443524599108
315,FDM57,OUT018,1074.4553910389757
316,FDA58,OUT017,3843.8649911746415
317,FDK56,OUT046,2971.3129233083014
318,FDP52,OUT045,3597.0158662839876
319,FDW20,OUT018,1771.4331883680056
320,FDS52,OUT049,1726.4734941682786
321,NCT29,OUT018,1635.1854590179619
322,NCL54,OUT013,2792.943379199081
323,FDC05,OUT045,3055.352421415029
324,FDF34,OUT035,3285.63449446035
325,FDP03,OUT027,3469.1585793252425
326,FDD32,OUT010,-504.543700788149
327,FDZ10,OUT045,1997.3163808338259
328,FDZ40,OUT035,1042.471509292445
329,FDD51,OUT018,419.93952523858206
330,NCY30,OUT019,930.5737317963531
331,FDP58,OUT017,3539.664130888854
332,FDV49,OUT017,4333.212874354952
333,FDY24,OUT019,-1044.7237777126861
334,NCO55,OUT017,1801.0862544853549
335,FDR13,OUT017,2033.6458084905767
336,FDS51,OUT017,1161.2181987188437
337,FDP26,OUT045,1570.6377249518018
338,NCB54,OUT027,3512.4254900476417
339,FDF32,OUT017,3279.4173221181372
340,FDN31,OUT018,2771.6220994164487
341,DRM48,OUT017,688.7907552382478
342,FDN20,OUT049,2847.163191599668
343,DRL01,OUT046,3686.5822577282133
344,FDV56,OUT049,1889.0770351273918
345,DRH13,OUT027,3175.155068917089
346,FDA03,OUT017,2409.184437110213
347,FDF47,OUT027,5021.436886177321
348,FDX32,OUT046,2377.606422130479
349,FDX57,OUT049,1668.0131269864219
